date,brand,close_price
2021-08-09,Nike,158.058349609375
2021-08-16,Nike,154.46798706054688
2021-08-23,Nike,154.52928161621094
2021-08-30,Nike,150.57337951660156
2021-09-06,Nike,150.84999084472656
2021-09-13,Nike,144.2384033203125
2021-09-20,Nike,137.94027709960938
2021-09-27,Nike,135.60731506347656
2021-10-04,Nike,140.605224609375
2021-10-11,Nike,145.70455932617188
2021-10-18,Nike,150.7485809326172
2021-10-25,Nike,154.26185607910156
2021-11-01,Nike,163.68597412109375
2021-11-08,Nike,155.9216766357422
2021-11-15,Nike,161.26075744628906
2021-11-22,Nike,154.93502807617188
2021-11-29,Nike,157.2642364501953
2021-12-06,Nike,156.17420959472656
2021-12-13,Nike,149.0610809326172
2021-12-20,Nike,153.0426025390625
2021-12-27,Nike,153.9663848876953
2022-01-03,Nike,145.0057373046875
2022-01-10,Nike,136.8856658935547
2022-01-17,Nike,132.05435180664062
2022-01-24,Nike,134.78866577148438
2022-01-31,Nike,134.30833435058594
2022-02-07,Nike,129.4954071044922
2022-02-14,Nike,132.05435180664062
2022-02-21,Nike,128.22061157226562
2022-02-28,Nike,121.45793151855469
2022-03-07,Nike,113.5416030883789
2022-03-14,Nike,121.51350402832031
2022-03-21,Nike,123.79118347167969
2022-03-28,Nike,123.6245346069336
2022-04-04,Nike,118.65251159667969
2022-04-11,Nike,123.56900787353516
2022-04-18,Nike,119.50431823730469
2022-04-25,Nike,115.45818328857422
2022-05-02,Nike,106.00486755371094
2022-05-09,Nike,104.63457489013672
2022-05-16,Nike,99.99588012695312
2022-05-23,Nike,107.39371490478516
2022-05-30,Nike,112.26355743408203
2022-06-06,Nike,106.49028015136719
2022-06-13,Nike,99.63102722167969
2022-06-20,Nike,104.8010025024414
2022-06-27,Nike,93.91342163085938
2022-07-04,Nike,100.17864227294922
2022-07-11,Nike,97.18061065673828
2022-07-18,Nike,101.28319549560547
2022-07-25,Nike,106.66663360595703
2022-08-01,Nike,105.69206237792969
2022-08-08,Nike,107.73405456542969
2022-08-15,Nike,105.03303527832031
2022-08-22,Nike,100.50350952148438
2022-08-29,Nike,98.42781829833984
2022-09-05,Nike,103.2961654663086
2022-09-12,Nike,96.91985321044922
2022-09-19,Nike,90.31083679199219
2022-09-26,Nike,77.37207794189453
2022-10-03,Nike,81.13268280029297
2022-10-10,Nike,81.49571990966797
2022-10-17,Nike,82.3800277709961
2022-10-24,Nike,87.3414535522461
2022-10-31,Nike,89.1658935546875
2022-11-07,Nike,98.75363159179688
2022-11-14,Nike,98.12995910644531
2022-11-21,Nike,98.63262176513672
2022-11-28,Nike,104.7616958618164
2022-12-05,Nike,102.16598510742188
2022-12-12,Nike,98.926025390625
2022-12-19,Nike,108.5431900024414
2022-12-26,Nike,109.25281524658203
2023-01-02,Nike,116.2742691040039
2023-01-09,Nike,120.30787658691406
2023-01-16,Nike,118.2257080078125
2023-01-23,Nike,119.07538604736328
2023-01-30,Nike,119.15008544921875
2023-02-06,Nike,114.12675476074219
2023-02-13,Nike,116.56370544433594
2023-02-20,Nike,110.21452331542969
2023-02-27,Nike,113.24425506591797
2023-03-06,Nike,110.01377868652344
2023-03-13,Nike,112.729248046875
2023-03-20,Nike,113.02889251708984
2023-03-27,Nike,114.83605194091797
2023-04-03,Nike,112.570068359375
2023-04-10,Nike,117.93545532226562
2023-04-17,Nike,117.54218292236328
2023-04-24,Nike,118.65645599365234
2023-05-01,Nike,118.53470611572266
2023-05-08,Nike,112.56069946289062
2023-05-15,Nike,107.45751190185547
2023-05-22,Nike,100.66883087158203
2023-05-29,Nike,101.25386047363281
2023-06-05,Nike,99.45011138916016
2023-06-12,Nike,106.71205139160156
2023-06-19,Nike,102.88850402832031
2023-06-26,Nike,103.68704986572266
2023-07-03,Nike,98.13487243652344
2023-07-10,Nike,101.41355895996094
2023-07-17,Nike,102.45635223388672
2023-07-24,Nike,102.0429916381836
2023-07-31,Nike,102.22148132324219
2023-08-07,Nike,101.54508209228516
2023-08-14,Nike,98.46367645263672
2023-08-21,Nike,92.85517883300781
2023-08-28,Nike,96.48456573486328
2023-09-04,Nike,92.06378936767578
2023-09-11,Nike,90.73472595214844
2023-09-18,Nike,85.63525390625
2023-09-25,Nike,90.13145446777344
2023-10-02,Nike,91.53592681884766
2023-10-09,Nike,94.17520904541016
2023-10-16,Nike,96.77679443359375
2023-10-23,Nike,92.35599517822266
2023-10-30,Nike,100.91481018066406
2023-11-06,Nike,100.01934051513672
2023-11-13,Nike,99.87794494628906
2023-11-20,Nike,101.46150970458984
2023-11-27,Nike,107.32642364501953
2023-12-04,Nike,109.62466430664062
2023-12-11,Nike,114.95881652832031
2023-12-18,Nike,102.18141174316406
2023-12-25,Nike,102.68267822265625
2024-01-01,Nike,96.54459381103516
2024-01-08,Nike,99.36299896240234
2024-01-15,Nike,96.26087951660156
2024-01-22,Nike,97.17826080322266
2024-01-29,Nike,95.2488784790039
2024-02-05,Nike,98.83336639404297
2024-02-12,Nike,97.89704895019531
2024-02-19,Nike,99.90209197998047
2024-02-26,Nike,96.69969177246094
2024-03-04,Nike,94.11799621582031
2024-03-11,Nike,94.57360076904297
2024-03-18,Nike,89.08748626708984
2024-03-25,Nike,89.20138549804688
2024-04-01,Nike,84.32274627685547
2024-04-08,Nike,87.32205963134766
2024-04-15,Nike,89.72341918945312
2024-04-22,Nike,89.33427429199219
2024-04-29,Nike,87.46443939208984
2024-05-06,Nike,86.31597137451172
2024-05-13,Nike,87.49291229248047
2024-05-20,Nike,87.08477783203125
2024-05-27,Nike,90.21699523925781
2024-06-03,Nike,91.99884033203125
2024-06-10,Nike,88.98779296875
2024-06-17,Nike,92.59913635253906
2024-06-24,Nike,71.81721496582031
